"match_id","ftir_material_raw","raman_material_raw","ftir_material_norm","raman_material_norm","agree","match_distance"
87,"PET","Polyethylene terephtalate (PET)","PET","PET",TRUE,9.86884022146663
88,"Protein","Polyamide (PA)","PROTEIN","PA",FALSE,9.89170269768118
89,"Protein","Polyamide (PA)","PROTEIN","PA",FALSE,10.2744545569281
90,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,10.3452183888296
91,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,10.4280725585089
92,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,10.5299361477579
96,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,10.8144091808442
97,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,10.8542571696394
99,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,10.898246732029
100,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,10.9540710025856
101,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,11.0488538311533
102,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,11.0730220027859
105,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,11.2190490869475
106,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,11.2403444190026
107,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,11.267330497432
111,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,11.5067525625585
112,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,11.5512190725557
114,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,11.7165593252976
116,"Cellulose","Polyamide (PA)","CELLULOSE","PA",FALSE,11.9293041862508
117,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,11.9331190915692
119,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE",FALSE,12.0708127213446
121,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB",FALSE,12.1563740062265
