"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material","n_instrument_agreement","ftir_family","raman_family","ldir_family","material_consensus"
"563","MP_-1","Cellulose",15.1481940514004,"A156","Cellulosic",141.045104234786,"Polyamide (PA)",1,"Cellulose","PA","Cellulose","FTIR+LDIR agree"
"565","MP_-1","Cellulose",11.0513226043057,"A40","Polyamide (naturally occurring)",15.2392480158795,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"567","MP_-1","Protein",7.03909878644713,"A36","Polyethylene terephthalate",9.40738606430669,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","PET","No agreement"
"57","MP_-1","Protein",16.7959012646939,"A245","Polyamide (naturally occurring)",9.80415641604384,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"570","MP_-1","Cellulose",16.4168082581352,"A206","Polyamide (naturally occurring)",3.40914616310531,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"575","MP_-1","Protein",14.5949502690449,"A175","Cellulosic",606.053334849222,"Polyethylene naphtalate (PEN)",0,"Protein","PE","Cellulose","No agreement"
"577","MP_-1","Protein",5.82367374111391,"A237","Polyamide (naturally occurring)",8.52863670844051,"Polyvinyl Chloride (PVC)",0,"Protein","PVC","Natural","No agreement"
"578","MP_-1","Cellulose",22.2859663324128,"A240","Polyamide (naturally occurring)",9.10729303987533,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"579","MP_22","PET",59.5524752759423,"A4","Polyethylene terephthalate",61.9178368288918,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
"58","MP_-1","Protein",9.88409969336944,"A443","Polyamide (naturally occurring)",10.7878791240936,"Polyamide (PA)",0,"Protein","PA","Natural","No agreement"
"582","MP_-1","Protein",20.3003409209097,"A157","Polyamide (naturally occurring)",14.6094951223598,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"584","MP_-1","Protein",18.1873028800475,"A432","Polyamide (naturally occurring)",6.55673565575908,"Polyether sulphone (PES)",0,"Protein","Unknown","Natural","No agreement"
"585","MP_-1","Protein",20.6026467129622,"A364","Polyamide (naturally occurring)",8.35247313741947,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"586","MP_-1","Protein",23.0364952776086,"A369","Polyamide (naturally occurring)",9.64088232363516,"Polymethylmethacrylate (PMMA)",0,"Protein","PMMA","Natural","No agreement"
"59","MP_-1","Protein",17.9888753249885,"A228","Polyamide (naturally occurring)",3.45977698283502,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"593","MP_-1","Cellulose",7.46714264658831,"A313","Polyamide (naturally occurring)",3.86584038300339,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"596","MP_-1","Protein",16.4036464391224,"A341","Polyamide (naturally occurring)",6.73388399094651,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"597","MP_-1","Protein",12.416297395557,"A99","Polyamide (naturally occurring)",8.80892180639772,"Polyamide (PA)",0,"Protein","PA","Natural","No agreement"
"60","MP_-1","Cellulose",8.36095613995487,"A39","Polyamide (naturally occurring)",88.6234110776624,"Polyphenylene sulphide (PPS)",0,"Cellulose","Unknown","Natural","No agreement"
"600","MP_-1","Protein",20.4672970847799,"A334","Polyamide (naturally occurring)",14.9783287840675,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"601","MP_0","PET",7.67659398287735,"A32","Polyethylene terephthalate",13.8673930998901,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
"610","MP_-1","Protein",11.4803193413817,"A102","Polyamide (naturally occurring)",6.87407354035032,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"611","MP_-1","Protein",20.4813171180867,"A113","Polyamide (naturally occurring)",4.89912648045568,"Polyamide (PA)",0,"Protein","PA","Natural","No agreement"
"614","MP_-1","Protein",16.2158439995505,"A383","Cellulosic",10.0555907900652,"Cellulose Acetate Butyrate (CAB)",1,"Protein","Cellulose","Cellulose","LDIR+Raman agree"
"623","MP_-1","Protein",6.37413895199294,"A266","Polyamide (naturally occurring)",9.89256192979678,"Polyvinyl Chloride (PVC)",0,"Protein","PVC","Natural","No agreement"
"627","MP_-1","Protein",4.29718401730706,"A236","Polyamide (naturally occurring)",5.16652193478224,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
