"particle_id","x_um","y_um","coord_match_cost","coord_source","material","quality","feret_max_um"
"A210",10040.55,4343.19166666667,0.39151632272056,"image","Polyamide (naturally occurring)",0.93579021553149,32
"A211",2801.175,5913.32083333333,0.54939177962454,"image","Polyamide (naturally occurring)",0.934788459042757,30
"A212",10632.375,10665.2541666667,0.466141496979801,"image","Polyamide (naturally occurring)",0.930803105523634,36
"A213",6070.78333333333,2421.25,0.481093336650307,"image","Polycarbonate",0.692949627009735,42
"A214",1337.91666666667,4150.14166666667,0.505488418735023,"image","Polyamide (naturally occurring)",0.853869071996376,35
"A215",7440.875,1045.09166666667,0.431175516787379,"image","Polyamide (naturally occurring)",0.91235335604251,35
"A216",1023.04583333333,7970.19166666667,0.364714048341305,"image","Polyamide (naturally occurring)",0.952123909011037,32
"A217",2493.45416666667,1483.24583333333,0.440305248905438,"image","Polyethylene terephthalate",0.90668700525846,53
"A218",5228.49166666667,8857.65833333333,0.415332447578288,"image","Carbonate",0.739916183928179,30
"A219",10905.9708333333,10618.8875,0.497396124107935,"image","Polycarbonate",0.864297192693158,35
"A220",3636.69583333333,6763.68333333333,0.415332447578288,"image","Polyamide (naturally occurring)",0.940643229375813,30
"A221",2182.91666666667,9257.625,0.415332447578288,"image","Polyamide (naturally occurring)",0.866809520082321,30
"A222",3245.99166666667,6716.34166666667,0.415332447578288,"image","Polyamide (naturally occurring)",0.937795511675505,30
"A223",8722.1875,1738.37083333333,0.348046189011821,"image","Polyamide (naturally occurring)",0.959281921288804,28
"A224",4375.25833333333,7073.19166666667,0.517460980821182,"image","Rubber",0.805345164262843,42
"A225",772.254166666667,6580.54583333333,0.449816631994273,"image","Polyamide (naturally occurring)",0.922057074096031,35
"A226",2296.99166666667,7437.57083333333,0.46577327890502,"image","Cellulosic",0.857929704870774,30
"A227",12698.4541666667,6330.94583333333,0.327008428411139,"image","Polyethylene terephthalate",0.879502786203839,35
"A228",1993.875,9239.53333333333,0.468595338147505,"image","Polyamide (naturally occurring)",0.91486452605047,35
"A229",11093.7125,7020.37916666667,0.401234757767449,"image","Rubber",0.70451537726586,30
"A230",5964.34583333333,1284.34583333333,0.332241886280498,"image","Chitin",0.828103633690543,30
"A231",4637.425,7820.52916666667,0.332241886280498,"image","Polyamide (naturally occurring)",0.967814555602615,30
"A232",5155.42083333333,9500.29166666667,0.453072775561135,"image","Polyamide (naturally occurring)",0.915708199824675,30
"A233",2676.15833333333,2152.15,0.513215858498385,"image","Polyamide (naturally occurring)",0.901091221197316,38
"A234",7342.61666666667,1565.0375,0.349418872823793,"image","Polyamide (naturally occurring)",0.944869669401983,28
"A235",6752.90416666667,11338.0041666667,0.557606159467716,"image","Polyamide (naturally occurring)",0.949812015469865,39
"A236",2911.72916666667,4599.02083333333,0.278463332249305,"image","Polyamide (naturally occurring)",0.915357706517027,35
"A237",2407.49166666667,2832.10416666667,0.363365891266833,"image","Polyamide (naturally occurring)",0.969545731973827,30
"A238",6354.99583333333,5936.45,0.363365891266833,"image","Polyamide (naturally occurring)",0.909261335902999,30
"A239",10408.0166666667,7521.52916666667,0.25726518302379,"image","Cellulosic",0.944614896333655,30
"A240",11425.9708333333,10510.7166666667,0.25726518302379,"image","Polyamide (naturally occurring)",0.948715287677415,30
"A241",1917.87916666667,7181.09166666667,0.25726518302379,"image","Polyamide (naturally occurring)",0.921882136678206,30
"A242",2751.39583333333,4058.81666666667,0.323269411594149,"image","Polyamide (naturally occurring)",0.948076441487583,32
"A243",11004.2833333333,8500.5375,0.557606159467716,"image","Polyamide (naturally occurring)",0.914187638323926,39
"A244",12378.7083333333,5041.61666666667,0.58500513365583,"image","Polyamide (naturally occurring)",0.92180761624123,39
"A245",6467.175,2251.4375,0.552397548276645,"image","Polyamide (naturally occurring)",0.947139047880254,32
"A246",8376.55,7989.20416666667,0.311564246063445,"image","Polyamide (naturally occurring)",0.950522771750033,28
"A247",9177.89166666667,6760.65,0.584666808845431,"image","Polyamide (naturally occurring)",0.95757956575154,30
"A248",5221.50416666667,11073.5625,0.584666808845431,"image","Polyamide (naturally occurring)",0.97276566394641,30
"A249",8781.77083333333,7805.09166666667,0.631515579084012,"image","Polyamide (naturally occurring)",0.903985177441214,35
"A250",2374.88333333333,10650.1958333333,0.577408786763895,"image","Cellulosic",0.883321038884495,39
"A251",6154.63333333333,1463.15,0.584666808845431,"image","Polyamide (naturally occurring)",0.945224783067511,30
"A252",509.654166666667,6527.24583333333,0.507591468931802,"image","Polyamide (naturally occurring)",0.959672078576031,40
"A253",1941.00833333333,2234.5375,0.611010590658777,"image","Polyamide (naturally occurring)",0.957048639492698,30
"A254",2736.3375,10862.0958333333,0.651718286401531,"image","Polyamide (naturally occurring)",0.948804958581335,35
"A255",2342.54583333333,1477.72083333333,0.611010590658777,"image","Polyamide (naturally occurring)",0.918731642282479,30
"A256",11713.0541666667,7923.93333333333,0.611010590658777,"image","Polyamide (naturally occurring)",0.953831033312895,30
"A257",10796.4458333333,2342.22083333333,0.611010590658777,"image","Polyethylene terephthalate",0.724431794959143,30
"A258",10547.7666666667,8716.60833333333,0.532594920980466,"image","Polyamide (naturally occurring)",0.928027954200423,32
"A259",7757.20833333333,2251.275,0.685614584965542,"image","Polyamide (naturally occurring)",0.924933895428387,35
"A260",7684.40833333333,12292.475,0.592081322876452,"image","Sand",0.770421172824445,30
"A261",8433.04583333333,1882.5625,0.599881179546932,"image","Polyamide (naturally occurring)",0.967622113903948,30
"A262",6088.33333333333,10018.125,0.605571877292006,"image","Polyamide (naturally occurring)",0.951555409422418,35
"A263",3420.84166666667,3747.84583333333,0.654476340238938,"image","Polyamide (naturally occurring)",0.949210424715306,30
"A264",3562.43333333333,11419.7416666667,0.599881179546932,"image","Polyamide (naturally occurring)",0.972102100468779,30
"A265",3582.25833333333,4484.24166666666,0.654476340238938,"image","Polyamide (naturally occurring)",0.935189290172542,30
"A266",3033.82083333333,9487.4,0.595635840216005,"image","Polyamide (naturally occurring)",0.958380848164594,30
"A267",7434.64583333333,8785.12916666667,0.599881179546932,"image","Polyamide (naturally occurring)",0.9649490125108,30
"A268",4831.34166666667,11716.4125,0.599881179546932,"image","Polyamide (naturally occurring)",0.97133510260454,30
"A269",7598.5,5652.075,0.654476340238938,"image","Polyamide (naturally occurring)",0.957101745689369,30
"A270",5937.425,1260.56666666667,0.658252135120919,"image","Polyamide (naturally occurring)",0.937971985734079,36
"A271",990.6,5369,0.261982172901929,"image","Cellulosic",0.957588050747499,35
"A272",8673.38333333333,10919.1333333333,0.261982172901929,"image","Polyamide (naturally occurring)",0.969211173944635,35
"A273",6332.7875,909.891666666666,1.08146434874814,"image","Polyamide (naturally occurring)",0.93235243343228,48
"A274",9063.81666666667,6782.75,0.261982172901929,"image","Polyamide (naturally occurring)",0.863885628334836,30
"A275",9723.8375,9714.4125,0.651134667352055,"image","Polyamide (naturally occurring)",0.917005215195633,36
"A276",12148.0666666667,5445.80833333333,0.585917590747084,"image","Polyamide (naturally occurring)",0.93402509159184,30
"A277",10592.7791666667,3579.65833333333,0.444898613763678,"image","Polyamide (naturally occurring)",0.967805796044635,28
"A278",5419.42916666667,12332.1791666667,0.651134667352055,"image","Polyamide (naturally occurring)",0.929661223515047,36
"A279",12157.7625,3468.99583333333,0.651134667352055,"image","Polyethylene terephthalate",0.933458855729851,36
"A280",7695.07916666667,5518.175,0.651134667352055,"image","Polyamide (naturally occurring)",0.951151784209478,36
"A281",4780.53333333333,894.995833333332,0.71718474602495,"image","Polyamide (naturally occurring)",0.970070997757321,46
"A282",10179.9208333333,1817.18333333333,0.427215115571282,"image","Cellulosic",0.913497830375121,35
"A283",8691.04166666667,604.879166666666,0.242666383602637,"image","Polyamide (naturally occurring)",0.96630679112058,30
"A284",3216.85,5335.2,0.283488378122892,"image","Polyethylene terephthalate",0.880940166433867,35
"A285",7464.6,8442.85,0.283488378122892,"image","Polyamide (naturally occurring)",0.927075358183687,35
"A286",10710.7541666667,10600.4166666667,0.374943187695647,"image","Polyamide (naturally occurring)",0.922949798646161,34
"A287",10008.4291666667,11426.4583333333,0.242666383602637,"image","Polyamide (naturally occurring)",0.958199966475364,30
"A288",6937.17916666667,4757.89166666667,0.242666383602637,"image","Polyamide (naturally occurring)",0.958325482295452,30
"A289",7567.89583333333,7340.39583333333,0.616619725064628,"image","Polyamide (naturally occurring)",0.94598865985969,38
"A290",7135.05,1596.99583333333,0.488383725703416,"image","Polypropylene",0.950282962175133,56
"A291",8642.4,778.591666666665,0.313246454299594,"image","Polyamide (naturally occurring)",0.965349923454516,25
"A292",1689.8375,5323.9875,0.686519919258303,"image","Cellulosic",0.922325682799352,46
"A293",6730.75,534.083333333332,0.64193952146288,"image","Polyamide",0.687808759340656,40
"A294",5038.58333333333,8887.82916666667,0.487788841635622,"image","Polyamide (naturally occurring)",0.840771430916692,35
"A295",3973.45,8251.75,0.372232981153929,"image","Polyamide (naturally occurring)",0.949254365409916,35
"A296",11019.6666666667,6939.99583333333,0.487788841635622,"image","Polyamide (naturally occurring)",0.941737660047569,35
"A297",6869.41666666667,373.75,0.599360617292727,"image","Polyamide (naturally occurring)",0.944291424496274,28
"A298",3729.5375,1062.04583333333,0.631629877861513,"image","Polyamide (naturally occurring)",0.912865766046697,30
"A299",7217.00416666667,9743.6625,0.599360617292727,"image","Polyamide (naturally occurring)",0.966770365626697,28
"A300",10702.25,7380.5875,0.631629877861513,"image","Polyamide (naturally occurring)",0.940828186962302,30
"A301",3808.07916666667,5632.0875,0.599360617292727,"image","Polyamide (naturally occurring)",0.924312300171768,28
"A302",8918.27083333333,550.929166666667,0.543051520310671,"image","Polyamide (naturally occurring)",0.937722753606073,30
"A303",4206.475,875.0625,0.543051520310671,"image","Polyamide (naturally occurring)",0.955524497450158,30
"A304",2146.08333333333,8572.2,0.327940140693726,"image","Polyamide (naturally occurring)",0.875017308918085,30
"A305",4769.91666666667,11056.7166666667,0.327940140693726,"image","Polyethylene terephthalate",0.9346571516977,30
"A306",5271.71666666667,7956.86666666667,0.327940140693726,"image","Polyamide (naturally occurring)",0.954875118476621,30
"A307",11036.35,7128.98333333333,0.327940140693726,"image","Polyamide",0.627841765540542,30
"A308",7302.1,2154.31666666667,0.362436576437202,"image","Cellulosic",0.951758395580761,28
"A309",4112.55,796.25,0.244747531945926,"image","Polyamide (naturally occurring)",0.929447391034541,25
"A310",2471.02916666667,1804.77916666667,0.244747531945926,"image","Polyamide (naturally occurring)",0.945820704720307,25
"A311",5535.4,6020.625,0.390150372071706,"image","Polyamide (naturally occurring)",0.944625528048895,35
"A312",2554.87916666667,3779.69583333333,0.344604100141645,"image","Polyamide (naturally occurring)",0.963695846836079,28
"A313",6251.10416666667,9719.82916666667,0.730625440399263,"image","Polyamide (naturally occurring)",0.930045299463583,41
"A314",7628.34583333333,3043.51666666667,0.390150372071706,"image","Polyamide (naturally occurring)",0.959207519731645,30
"A315",2597.50833333333,9290.39583333333,0.390150372071706,"image","Polyamide (naturally occurring)",0.948384138503734,30
"A316",6483.96666666667,2211.67916666666,0.390150372071706,"image","Polyamide (naturally occurring)",0.973096407933045,30
"A317",9078.11666666667,9143.98333333333,0.385426094661901,"image","Polyamide (naturally occurring)",0.969957590332902,28
"A318",3650.83333333333,4603.1375,0.390150372071706,"image","Polyamide (naturally occurring)",0.975876230798027,35
"A319",3826.44166666667,10517.4875,0.390150372071706,"image","Polyamide (naturally occurring)",0.948860379389287,30
"A320",2230.04166666667,2257.88333333333,0.730625440399263,"image","Polyamide (naturally occurring)",0.951839364264435,41
"A321",6397.51666666667,4971.25416666667,0.390150372071706,"image","Polyamide (naturally occurring)",0.930325851242443,35
"A322",7564.375,1126.66666666667,0.390150372071706,"image","Polyamide (naturally occurring)",0.940000872833713,30
"A323",6798.78333333333,7005.59166666667,0.682000662762278,"image","Polyamide (naturally occurring)",0.920019766551681,31
"A324",3311.64166666667,1951.84166666667,0.712481012657122,"image","Cellulosic",0.784865772545517,25
"A325",9131.30833333333,9530.51666666667,0.542581975861725,"image","Polyamide (naturally occurring)",0.962711253353756,25
"A326",7797.77916666667,1286.78333333333,0.518186893777009,"image","Polyamide (naturally occurring)",0.953905280384705,35
"A327",5485.89166666667,10300.4416666667,0.712481012657122,"image","Polyamide (naturally occurring)",0.949999649219545,25
"A328",7001.04166666667,4422.70833333333,0.712481012657122,"image","Polyamide (naturally occurring)",0.939680680535747,25
"A329",4737.41666666667,10173.5833333333,0.374460156328619,"image","Polyamide (naturally occurring)",0.953848502781251,35
"A330",8831.17083333333,10064.5458333333,0.869156398164726,"image","Polyamide (naturally occurring)",0.951726692770488,40
"A331",3878.65833333333,8899.74583333333,0.732892009917249,"image","Polyethylene terephthalate",0.879181290933633,36
"A332",5634.525,2086.825,0.528496537378376,"image","Polyamide (naturally occurring)",0.965942020163795,30
"A333",5868.85,6825.37916666667,0.528496537378376,"image","Polyamide (naturally occurring)",0.967155986327077,30
"A334",1960.02083333333,8729.06666666667,0.528496537378376,"image","Polyamide (naturally occurring)",0.967092336603871,30
"A335",6133.725,6505.41666666667,0.315365099159879,"image","Polyethylene terephthalate",0.926423786205697,25
"A336",6254.57083333333,969.420833333332,0.722493125752834,"image","Polyamide (naturally occurring)",0.951604304839512,30
"A337",7253.62083333333,12871.4083333333,0.359982178313472,"image","Polyamide (naturally occurring)",0.947647703170995,32
"A338",10071.8041666667,3945.71666666667,0.722493125752834,"image","Carbonate",0.799788225715532,30
"A339",1116.48333333333,7867.70833333333,0.325466452818639,"image","Polyamide (naturally occurring)",0.944809928034373,32
"A340",4823.10833333333,4406.45833333333,0.325466452818639,"image","Polyamide (naturally occurring)",0.971002271308307,32
"A341",10152.6208333333,10321.8375,0.315365099159879,"image","Polyamide (naturally occurring)",0.963577711199882,25
"A342",7727.25416666667,4406.8375,0.315365099159879,"image","Polyamide (naturally occurring)",0.959838203284829,25
"A343",2852.09166666667,7900.425,0.462471033651332,"image","Polyamide (naturally occurring)",0.962105408954194,30
"A344",3298.47916666667,7729.3125,0.463653067298773,"image","Polyamide (naturally occurring)",0.926758095077795,25
"A345",6162.27083333333,7763.97916666667,0.462471033651332,"image","Polyamide (naturally occurring)",0.774855761290187,30
"A346",2844.99583333333,10402.7083333333,0.462471033651332,"image","Cellulosic",0.837694586202782,35
"A347",9355.55833333333,7812.78333333333,0.389443064739636,"image","Polyamide (naturally occurring)",0.933325674269062,29
"A348",5992.07916666667,3949.99583333333,0.462471033651332,"image","Polyamide (naturally occurring)",0.934525847136481,35
"A349",5810.5125,1720.17083333333,0.71491647777442,"image","Polyamide (naturally occurring)",0.913288511523365,28
"A350",83.525,5953.72916666667,0.462471033651332,"image","Carbonate",0.807937621599494,30
"A351",4911.8875,585.324999999999,0.699530648441043,"image","Carbonate",0.760266988943002,33
"A352",4889.7875,4556.6625,0.462471033651332,"image","Cellulosic",0.911055897715493,35
