"ldir_row","ldir_x_aligned","ldir_y_aligned","raman_row","raman_x_norm","raman_y_norm","dx","dy","dist"
50,-1127.30609217119,-197.093009086823,636,-1143.79051910438,-199.605908172724,-16.4844269331966,-2.51289908590081,16.6748611128194
51,2000.60936779523,2493.7047889573,37,1999.22950042687,2508.2708830837,-1.37986736836683,14.5660941263936,14.6313065736879
52,-1725.76053333524,1768.13285952844,505,-1715.5618322465,1762.55709214834,10.1987010887342,-5.57576738010266,11.6233680908059
53,3014.18187947129,475.22732517208,203,3018.77352868029,486.978921664606,4.5916492089932,11.7515964925266,12.6167849542429
54,-74.268709504482,-2321.8917125877,130,-75.450746255493,-2320.21156153317,-1.18203675101097,1.68015105453151,2.05429268771125
55,3023.35031723605,3213.02729182079,233,3027.95861001591,3221.83688934441,4.60829277985886,8.80959752361241,9.94210092852297
56,-178.730333153226,688.635307896949,619,-178.208843697703,691.346981382076,0.52148945552301,2.71167348512733,2.76136276902625
57,3846.02889127161,-354.19187161633,415,3845.43084888577,-350.011615043444,-0.598042385837289,4.18025657288592,4.22281892938993
58,3932.04135707043,-754.756745589847,126,3928.67064848979,-750.136720726234,-3.37070858064453,4.62002486361303,5.71894274110462
59,-3577.08637115978,-2676.86356422066,440,-3579.55927579316,-2679.57786878916,-2.4729046333855,-2.71430456850521,3.67188052861578
60,1204.87048898428,-3390.95843762534,548,1198.97928906129,-3393.71794263333,-5.89119992298993,-2.75950500799308,6.5054672715936
61,3765.45875460846,-1974.7130050274,275,3745.54308936094,-1963.14152461108,-19.9156652475262,11.571480416319,23.0332994005804
62,-3089.90262843823,2436.97596593937,256,-3087.5833567542,2433.06802964834,2.31927168403217,-3.90793629103382,4.54433572693882
63,45.1562883689644,4020.89857083951,551,51.4181896927075,4022.66116829346,6.26190132374313,1.76259745394509,6.50524080822145
64,4084.3131698345,-731.212312397493,263,4088.8355042796,-720.285206385474,4.5223344450942,10.9271060120191,11.8259525887426
65,4224.35321700353,2323.90980219228,120,4227.18579189733,2326.86552670528,2.83257489379503,2.9557245129954,4.09387199673852
66,3990.77694142381,-589.178106855739,160,3941.30013532627,-599.156946272034,-49.4768060975421,-9.97883941629448,50.4730777515099
67,4658.24727413396,-2958.60024036169,44,4656.01427675393,-2948.24149785594,-2.23299738003243,10.3587425057526,10.5966892754161
68,958.049022961657,-6865.64062076016,154,948.111755082257,-6861.08614682854,-9.93726787939988,4.55447393161739,10.9312636827009
69,1576.33490265475,-811.006293591202,324,1581.30829965632,-809.839749407734,4.97339700156954,1.16654418346855,5.10837577584159
70,1279.17359496503,-3226.36877323826,8,1276.47841283055,-3226.09020825834,-2.69518213448191,0.27856497992434,2.70953966312928
