"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio"
"A130",NA,NA,1125,52,35,35,52,"Polyamide (naturally occurring)",0.937622494627555,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.8469878303024,1.4705883994562
"A131",NA,NA,1125,74,23,23,74,"Polyamide (naturally occurring)",0.922771687456672,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.8469878303024,0.306666677472898
"A132",NA,NA,1112.5,50,30,30,50,"Polyamide (naturally occurring)",0.933069125103516,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.6361394608675,0.6
"A133",NA,NA,1100,65,27,27,65,"Polyamide (naturally occurring)",0.9363918972627,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.4241031850956,2.44186044224542
"A134",NA,NA,1100,40,35,35,40,"Cellulosic",0.851687567362317,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.4241031850956,1.14285714285714
"A135",NA,NA,1087.5,40,35,35,40,"Polyamide (naturally occurring)",0.93285967297164,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.2108586960781,0.875
"A136",NA,NA,1087.5,40,35,35,40,"Polyamide (naturally occurring)",0.935471825715886,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.2108586960781,0.875
"A137",NA,NA,1062.5,40,35,35,40,"Polyamide (naturally occurring)",0.928388537933136,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",36.7806609005481,0.875
"A138",NA,NA,1062.5,55,25,25,55,"Polyethylene terephthalate",0.913744115578168,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",36.7806609005481,2.2
"A139",NA,NA,1050,49,40,40,49,"Polyamide (naturally occurring)",0.923709636857136,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",36.5636639571573,0.818181800558012
"A140",NA,NA,1050,40,35,35,40,"Polyamide (naturally occurring)",0.959788191092708,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",36.5636639571573,0.875
"A141",NA,NA,1037.5,55,25,25,55,"Polyethylene terephthalate",0.948961338968528,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",36.3453714750961,0.454545454545455
"A142",NA,NA,1037.5,60,27,27,60,"Polyamide (naturally occurring)",0.953825080018043,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",36.3453714750961,0.444444418117524
"A143",NA,NA,1012.5,45,30,30,45,"Carbonate",0.802803126661236,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",35.9048052361289,1.5
"A144",NA,NA,987.5,50,25,25,50,"Polyamide (naturally occurring)",0.900482979042572,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",35.4587654949516,2
"A145",NA,NA,987.5,38,31,31,38,"Polyamide (naturally occurring)",0.97741251978851,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",35.4587654949516,0.823529492931798
"A146",NA,NA,975,35,35,35,35,"Polyamide (naturally occurring)",0.93025516856779,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",35.2336281997296,1
