"particle_id","centroid_y","centroid_x","tile_row","tile_col","local_y","local_x","area_px","max_intensity","mean_intensity","integrated_intensity","bbox_width","bbox_height","equivalent_diameter","aspect_ratio","x_um","y_um","feret_max_um","feret_min_um","area_um2","centroid_px_x","centroid_px_y","coord_source"
39,627.55,2507.14,0,2,627.55,7.14,56,105.61,90.36,5060.36,9,8,8.44,1.12,18.5639999999997,4868.37,23.4,20.8,378.56,2507.14,627.55,"circle_calibrated"
40,640.06,2597.48,0,2,640.06,97.48,84,108.88,88.3,7417.09,9,14,10.34,1.56,253.448,4835.844,36.4,23.4,567.84,2597.48,640.06,"circle_calibrated"
41,641.12,3130.5,0,2,641.12,630.5,16,107.9,93.77,1500.3,6,3,4.51,2,1639.3,4833.088,15.6,7.8,108.16,3130.5,641.12,"circle_calibrated"
42,656.01,2861.31,0,2,656.01,361.31,132,174.11,117.4,15496.45,14,16,12.96,1.14,939.406,4794.374,41.6,36.4,892.32,2861.31,656.01,"circle_calibrated"
43,652.5,2640.8,0,2,652.5,140.8,20,112.06,94.17,1883.48,5,6,5.05,1.2,366.08,4803.5,15.6,13,135.2,2640.8,652.5,"circle_calibrated"
44,664.5,2609.29,0,2,664.5,109.29,14,121.01,98.56,1379.88,4,4,4.22,1,284.154,4772.3,10.4,10.4,94.64,2609.29,664.5,"circle_calibrated"
45,692.4,2200.5,0,1,692.4,950.5,10,108.92,95.05,950.47,4,4,3.57,1,-778.7,4699.76,10.4,10.4,67.6,2200.5,692.4,"circle_calibrated"
46,699.96,3693.73,0,2,699.96,1193.73,26,119.22,96.43,2507.23,8,5,5.75,1.6,3103.698,4680.104,20.8,13,175.76,3693.73,699.96,"circle_calibrated"
47,711.27,3788.95,0,3,711.27,38.95,116,189.88,134.98,15657.87,15,11,12.15,1.36,3351.27,4650.698,39,28.6,784.16,3788.95,711.27,"circle_calibrated"
48,727.83,1857.02,0,1,727.83,607.02,47,138.04,109.4,5141.65,9,7,7.74,1.29,-1671.748,4607.642,23.4,18.2,317.72,1857.02,727.83,"circle_calibrated"
49,729.93,2147.14,0,1,729.93,897.14,14,101.15,88.72,1242.1,4,5,4.22,1.25,-917.436,4602.182,13,10.4,94.64,2147.14,729.93,"circle_calibrated"
50,732.68,863.32,0,0,732.68,863.32,19,103.66,90.17,1713.15,4,7,4.92,1.75,-4255.368,4595.032,18.2,10.4,128.44,863.32,732.68,"circle_calibrated"
51,735.5,1680,0,1,735.5,430,16,95.27,84.02,1344.35,5,4,4.51,1.25,-2132,4587.7,13,10.4,108.16,1680,735.5,"circle_calibrated"
