Particle Name;Material;HQI;RamanSignal;FluorescenceSignal;Area [µm²];Aspect Ratio;CE Diameter [µm];Circularity;Convex Area [µm²];Convex Perimeter [µm];Convexity;Feret Max [µm];Feret Min [µm];Focus Z Position [µm];Length [µm];Num Pixels;Perimeter [µm];SE Volume [µm³];Solidity;Width [µm];Visual Center Point X [µm];Visual Center Point Y [µm];Visual Center Point Z [µm]
238;Cellulose Acetate Butyrate (CAB)   ;91.58;5.05908890384132;160.758181942692;770.496;0.881;31.321;0.720;857.993;106.482;0.779;37.345;30.861;18.250;35.036;2338.000;136.608;16088.651;0.898;30.861;2769.51046150939;5085.916846372;-13.2399997711182
730;Polyethylene terephtalate (PET)   ;91.53;12.806863411502;431.542328535392;2039.937;0.720;50.964;0.582;2641.372;191.116;0.695;66.572;47.665;18.250;66.210;6190.000;274.922;69308.874;0.772;47.665;9813.89377834371;1706.38098244863;-13.2399997711182
98;Cellulose Acetate Butyrate (CAB)   ;91.51;0.788192626298593;91.7588361683863;783.843;0.937;31.591;0.729;894.573;112.447;0.826;42.137;29.436;-0.180;36.166;2378.500;136.075;16508.500;0.876;33.870;7248.38574778934;-1170.84574593322;-13.2399997711182
556;Cellulose Acetate Butyrate (CAB)   ;91.50;2.57455853418754;93.4778044754315;1389.398;0.710;42.060;0.844;1449.377;140.739;0.899;52.542;36.663;18.250;51.900;4216.000;156.487;38958.639;0.959;36.840;3055.39611808045;5888.46332807149;-13.2399997711182
377;Cellulose Acetate Butyrate (CAB)   ;91.44;2.66155874952874;212.642129442967;812.679;0.721;32.167;0.888;837.231;106.303;0.934;38.463;27.190;-0.180;37.698;2466.000;113.761;17427.796;0.971;27.190;6630.68902796914;-3839.68594151327;-13.2399997711182
675;Cellulose Acetate Butyrate (CAB)   ;91.43;5.11112317450884;182.908643298111;816.634;0.693;32.245;0.759;886.993;110.093;0.825;40.187;28.125;18.250;40.600;2478.000;133.442;17555.161;0.921;28.125;8675.51776031075;4529.07129040026;-13.2399997711182
237;Polyethylene terephtalate (PET)   ;91.41;5.35644919878676;175.981179245036;324.281;0.853;20.320;0.879;339.440;67.791;0.933;23.521;18.916;18.250;22.819;984.000;72.659;4392.841;0.955;19.472;4659.91501389594;5095.10192770762;-13.2399997711182
627;Cellulose Acetate Butyrate (CAB)   ;91.38;0.0348688284129943;58.0682595178844;1418.234;0.716;42.494;0.578;1698.519;156.733;0.679;58.278;40.237;-9.400;56.172;4303.500;230.909;40177.747;0.835;40.244;4429.71391292205;1798.23179580479;-13.2399997711182
606;Cellulose Acetate Butyrate (CAB)   ;91.35;2.60814218802363;140.711179717936;558.099;0.701;26.657;0.715;628.788;94.218;0.805;34.098;24.082;18.250;34.349;1693.500;117.066;9918.150;0.888;24.082;10255.3517500368;4611.16295483733;-13.2399997711182
12;Cellulose Acetate Butyrate (CAB)   ;91.34;2.99712541595541;174.624638248065;788.622;0.643;31.688;0.838;856.839;109.820;0.924;41.847;26.756;9.030;41.608;2393.000;118.829;16659.690;0.920;26.756;3433.13258800767;-3.19228114297948;-13.2399997711182
